title,listed_in,rating,duration,seasons,International TV Shows, TV Dramas, TV Mysteries,Crime TV Shows, International TV Shows, TV Action & Adventure,Docuseries, Reality TV, Romantic TV Shows, TV Comedies,TV Dramas, TV Horror,British TV Shows, Docuseries, Crime TV Shows,TV Comedies, Spanish-Language TV Shows, TV Thrillers,Kids' TV, TV Sci-Fi & Fantasy,Reality TV,Anime Series, Kids' TV, Korean TV Shows, Science & Nature TV, Teen TV Shows,TV Shows,TV Action & Adventure,Stand-Up Comedy & Talk Shows,Classic & Cult TV, Stand-Up Comedy & Talk Shows,Romantic TV Shows,TV Horror,Spanish-Language TV Shows, Classic & Cult TV,TV Sci-Fi & Fantasy,Cluster,PCA1,PCA2,Cluster_Label
Sharkdog,"[""Kids' TV""]",6,1 Season,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7540235740862442,2.379408833329393,Drama-heavy Long Series
Heroes of Goo Jit Zu,"[""Kids' TV"", ' TV Comedies']",7,1 Season,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5055808129653605,3.2544040162246954,Drama-heavy Long Series
Hotel Del Luna,"['International TV Shows', ' Romantic TV Shows', ' TV Comedies']",2,1 Season,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.647892943373071,-0.3721514403688589,Short Comedies
Luv Kushh,"[""Kids' TV""]",7,1 Season,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.891974396339669,2.6806734455657373,Drama-heavy Long Series
Pororo - The Little Penguin,"[""Kids' TV"", ' Korean TV Shows']",7,3 Seasons,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18152149000858037,2.7468530124652597,Drama-heavy Long Series
Q-Force,"['Crime TV Shows', ' TV Action & Adventure', ' TV Comedies']",4,1 Season,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.1326298532499798,0.1534966286709635,Family/Kids Shows
Brave Animated Series,"['International TV Shows', ' TV Action & Adventure', ' TV Comedies']",4,1 Season,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4410085242779926,0.7257287938717432,Short Comedies
How to Be a Cowboy,['Reality TV'],5,1 Season,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.3818542442543526,0.894887637374232,Family/Kids Shows
HQ Barbers,['TV Shows'],2,1 Season,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0.059062703445844786,-0.32260629797323787,Family/Kids Shows
Kid-E-Cats,"[""Kids' TV""]",6,2 Seasons,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7809297629848668,2.487560725384881,Drama-heavy Long Series
